date,action,ticker,price,confidence,size,slippage_pct,entry_price,return_pct,exit_reason
2024-01-02,BUY,QXO,107.7692,89.58,500.0,0.2,,,
2024-01-02,BUY,ALT,10.52,89.57,500.0,0.1,,,
2024-01-02,BUY,CONL,28.8884,87.71,500.0,0.2,,,
2024-01-02,BUY,BTDR,8.88,86.93,500.0,0.1,,,
2024-01-02,BUY,IBRX,5.24,86.52,500.0,0.1,,,
2024-01-02,BUY,CLSK,10.88,86.47,500.0,0.1,,,
2024-01-02,BUY,AAOI,18.69,86.12,500.0,0.1,,,
2024-01-02,BUY,AFRM,46.6,84.2,500.0,0.1,,,
2024-01-02,BUY,UVIX,136.9,74.65,500.0,0.2,,,
2024-01-02,BUY,SOXL,27.6289,71.29,500.0,0.1,,,
2024-01-31,SELL,QXO,88.708,89.58,,0.5,107.7692,-18.099,horizon
2024-01-31,SELL,ALT,9.44,89.57,,0.1,10.52,-10.356,horizon
2024-01-31,SELL,CONL,21.0977,87.71,,0.2,28.8884,-27.114,horizon
2024-01-31,SELL,BTDR,8.19,86.93,,0.1,8.88,-7.863,horizon
2024-01-31,SELL,IBRX,3.36,86.52,,0.1,5.24,-35.942,horizon
2024-01-31,SELL,CLSK,8.05,86.47,,0.1,10.88,-26.085,horizon
2024-01-31,SELL,AAOI,15.73,86.12,,0.1,18.69,-15.922,horizon
2024-01-31,SELL,AFRM,40.51,84.2,,0.1,46.6,-13.156,horizon
2024-01-31,SELL,UVIX,126.5,74.65,,0.2,136.9,-7.782,horizon
2024-01-31,SELL,SOXL,31.6294,71.29,,0.1,27.6289,14.365,horizon
2024-01-31,BUY,ALT,9.44,87.23,462.69,0.1,,,
2024-01-31,BUY,AAOI,15.73,81.41,462.69,0.1,,,
2024-01-31,BUY,BTDR,8.19,81.05,462.69,0.1,,,
2024-01-31,BUY,CLSK,8.05,80.58,462.69,0.1,,,
2024-01-31,BUY,AFRM,40.51,80.44,462.69,0.1,,,
2024-01-31,BUY,CONL,21.0977,80.35,462.69,0.2,,,
2024-01-31,BUY,UVIX,126.5,74.45,462.69,0.2,,,
2024-01-31,BUY,SOXL,31.6294,70.77,462.69,0.1,,,
2024-01-31,BUY,APLD,5.14,70.56,462.69,0.1,,,
2024-01-31,BUY,COIN,128.2,66.85,462.69,0.1,,,
2024-02-29,SELL,ALT,12.1,87.23,,0.1,9.44,28.05,horizon
2024-02-29,SELL,AAOI,15.98,81.41,,0.1,15.73,1.488,horizon
2024-02-29,SELL,BTDR,6.62,81.05,,0.1,8.19,-19.251,horizon
2024-02-29,SELL,CLSK,16.72,80.58,,0.1,8.05,107.494,horizon
2024-02-29,SELL,AFRM,37.52,80.44,,0.1,40.51,-7.474,horizon
2024-02-29,SELL,CONL,48.32,80.35,,0.1,21.0977,128.8,horizon
2024-02-29,SELL,UVIX,97.6,74.45,,0.2,126.5,-23.0,horizon
2024-02-29,SELL,SOXL,42.212,70.77,,0.1,31.6294,33.324,horizon
2024-02-29,SELL,APLD,4.15,70.56,,0.1,5.14,-19.341,horizon
2024-02-29,SELL,COIN,203.56,66.85,,0.1,128.2,58.624,horizon
2024-02-29,BUY,LUNR,6.03,88.49,529.2,0.1,,,
2024-02-29,BUY,CLSK,16.72,88.12,529.2,0.1,,,
2024-02-29,BUY,CONL,48.32,87.52,529.2,0.1,,,
2024-02-29,BUY,ALT,12.1,87.13,529.2,0.1,,,
2024-02-29,BUY,ABSI,5.16,85.2,529.2,0.1,,,
2024-02-29,BUY,AFRM,37.52,81.13,529.2,0.1,,,
2024-02-29,BUY,AAOI,15.98,80.95,529.2,0.1,,,
2024-02-29,BUY,BTDR,6.62,80.49,529.2,0.1,,,
2024-02-29,BUY,MSTR,102.284,77.34,529.2,0.1,,,
2024-02-29,BUY,COIN,203.56,75.61,529.2,0.1,,,
2024-03-28,SELL,LUNR,6.25,88.49,,0.1,6.03,3.545,horizon
2024-03-28,SELL,CLSK,21.21,88.12,,0.1,16.72,26.727,horizon
2024-03-28,SELL,CONL,76.7,87.52,,0.1,48.32,58.575,horizon
2024-03-28,SELL,ALT,10.18,87.13,,0.1,12.1,-15.952,horizon
2024-03-28,SELL,ABSI,5.68,85.2,,0.1,5.16,9.967,horizon
2024-03-28,SELL,AFRM,37.26,81.13,,0.1,37.52,-0.792,horizon
2024-03-28,SELL,AAOI,13.86,80.95,,0.1,15.98,-13.353,horizon
2024-03-28,SELL,BTDR,7.02,80.49,,0.1,6.62,5.936,horizon
2024-03-28,SELL,MSTR,170.456,77.34,,0.1,102.284,66.483,horizon
2024-03-28,SELL,COIN,265.12,75.61,,0.1,203.56,30.111,horizon
2024-03-28,BUY,CONL,76.7,89.02,574.25,0.1,,,
2024-03-28,BUY,CLSK,21.21,87.9,574.25,0.1,,,
2024-03-28,BUY,MSTR,170.456,86.57,574.25,0.1,,,
2024-03-28,BUY,ALT,10.18,86.28,574.25,0.1,,,
2024-03-28,BUY,ABSI,5.68,85.7,574.25,0.1,,,
2024-03-28,BUY,LUNR,6.25,85.31,574.25,0.1,,,
2024-03-28,BUY,CIFR,5.15,84.33,574.25,0.1,,,
2024-03-28,BUY,SMR,5.31,84.23,574.25,0.1,,,
2024-03-28,BUY,COIN,265.12,82.27,574.25,0.1,,,
2024-03-28,BUY,IBRX,5.37,82.09,574.25,0.1,,,
2024-04-26,SELL,CONL,57.5,89.02,,0.1,76.7,-25.108,horizon
2024-04-26,SELL,CLSK,19.23,87.9,,0.1,21.21,-9.426,horizon
2024-04-26,SELL,MSTR,128.238,86.57,,0.1,170.456,-24.843,horizon
2024-04-26,SELL,ALT,7.26,86.28,,0.1,10.18,-28.755,horizon
2024-04-26,SELL,ABSI,4.58,85.7,,0.1,5.68,-19.447,horizon
2024-04-26,SELL,LUNR,5.44,85.31,,0.1,6.25,-13.047,horizon
2024-04-26,SELL,CIFR,4.5,84.33,,0.1,5.15,-12.709,horizon
2024-04-26,SELL,SMR,6.06,84.23,,0.1,5.31,14.01,horizon
2024-04-26,SELL,COIN,236.32,82.27,,0.1,265.12,-10.952,horizon
2024-04-26,SELL,IBRX,7.35,82.09,,0.1,5.37,36.735,horizon
2024-04-26,BUY,CLSK,19.23,86.71,547.1,0.1,,,
2024-04-26,BUY,CONL,57.5,86.4,547.1,0.1,,,
2024-04-26,BUY,MSTR,128.238,85.6,547.1,0.1,,,
2024-04-26,BUY,ALT,7.26,85.15,547.1,0.1,,,
2024-04-26,BUY,LUNR,5.44,84.39,547.1,0.1,,,
2024-04-26,BUY,AAOI,10.85,83.31,547.1,0.1,,,
2024-04-26,BUY,SMR,6.06,83.11,547.1,0.1,,,
2024-04-26,BUY,NVDA,87.6855,81.52,547.1,0.1,,,
2024-04-26,BUY,IBRX,7.35,81.1,547.1,0.1,,,
2024-04-26,BUY,BTDR,6.35,80.68,547.1,0.2,,,
2024-05-24,SELL,CLSK,17.63,86.71,,0.1,19.23,-8.412,horizon
2024-05-24,SELL,CONL,54.18,86.4,,0.1,57.5,-5.868,horizon
2024-05-24,SELL,MSTR,168.484,85.6,,0.1,128.238,31.252,horizon
2024-05-24,SELL,ALT,7.33,85.15,,0.1,7.26,0.863,horizon
2024-05-24,SELL,LUNR,5.13,84.39,,0.1,5.44,-5.793,horizon
2024-05-24,SELL,AAOI,12.54,83.31,,0.1,10.85,15.46,horizon
2024-05-24,SELL,SMR,7.78,83.11,,0.1,6.06,28.254,horizon
2024-05-24,SELL,NVDA,106.409,81.52,,0.1,87.6855,21.232,horizon
2024-05-24,SELL,IBRX,6.52,81.1,,0.1,7.35,-11.381,horizon
2024-05-24,SELL,BTDR,6.06,80.68,,0.2,6.35,-4.758,horizon
2024-05-24,BUY,CONL,54.18,86.16,563.45,0.1,,,
2024-05-24,BUY,MSTR,168.484,86.08,563.45,0.1,,,
2024-05-24,BUY,ALT,7.33,83.54,563.45,0.1,,,
2024-05-24,BUY,CLSK,17.63,83.33,563.45,0.1,,,
2024-05-24,BUY,SMR,7.78,83.1,563.45,0.1,,,
2024-05-24,BUY,BTDR,6.06,81.82,563.45,0.2,,,
2024-05-24,BUY,LUNR,5.13,80.99,563.45,0.1,,,
2024-05-24,BUY,IBRX,6.52,79.85,563.45,0.1,,,
2024-05-24,BUY,COIN,237.65,78.68,563.45,0.1,,,
2024-05-24,BUY,SOXL,50.7276,77.07,563.45,0.1,,,
2024-06-25,SELL,CONL,45.55,86.16,,0.1,54.18,-16.012,horizon
2024-06-25,SELL,MSTR,149.574,86.08,,0.1,168.484,-11.312,horizon
2024-06-25,SELL,ALT,7.41,83.54,,0.1,7.33,0.99,horizon
2024-06-25,SELL,CLSK,16.61,83.33,,0.1,17.63,-5.88,horizon
2024-06-25,SELL,SMR,10.97,83.1,,0.1,7.78,40.862,horizon
2024-06-25,SELL,BTDR,10.03,81.82,,0.1,6.06,65.346,horizon
2024-06-25,SELL,LUNR,3.57,80.99,,0.1,5.13,-30.479,horizon
2024-06-25,SELL,IBRX,7.27,79.85,,0.1,6.52,11.392,horizon
2024-06-25,SELL,COIN,221.71,78.68,,0.1,237.65,-6.801,horizon
2024-06-25,SELL,SOXL,54.6873,77.07,,0.1,50.7276,7.698,horizon
2024-06-25,BUY,ASTS,10.98,89.61,578.86,0.1,,,
2024-06-25,BUY,MSTR,149.574,86.85,578.86,0.1,,,
2024-06-25,BUY,SMR,10.97,85.03,578.86,0.1,,,
2024-06-25,BUY,CONL,45.55,82.95,578.86,0.1,,,
2024-06-25,BUY,IBRX,7.27,82.27,578.86,0.1,,,
2024-06-25,BUY,ADMA,11.01,81.0,578.86,0.1,,,
2024-06-25,BUY,ALT,7.41,80.27,578.86,0.1,,,
2024-06-25,BUY,APLD,6.33,79.95,578.86,0.1,,,
2024-06-25,BUY,CLSK,16.61,79.63,578.86,0.1,,,
2024-06-25,BUY,BTDR,10.03,76.9,578.86,0.1,,,
2024-07-24,SELL,ASTS,13.36,89.61,,0.1,10.98,21.554,horizon
2024-07-24,SELL,MSTR,167.269,86.85,,0.1,149.574,11.718,horizon
2024-07-24,SELL,SMR,10.8,85.03,,0.1,10.97,-1.648,horizon
2024-07-24,SELL,CONL,52.99,82.95,,0.1,45.55,16.217,horizon
2024-07-24,SELL,IBRX,5.33,82.27,,0.1,7.27,-26.758,horizon
2024-07-24,SELL,ADMA,13.58,81.0,,0.1,11.01,23.219,horizon
2024-07-24,SELL,ALT,6.27,80.27,,0.1,7.41,-15.469,horizon
2024-07-24,SELL,APLD,4.57,79.95,,0.1,6.33,-27.876,horizon
2024-07-24,SELL,CLSK,16.57,79.63,,0.1,16.61,-0.341,horizon
2024-07-24,SELL,BTDR,9.88,76.9,,0.1,10.03,-1.594,horizon
2024-07-24,BUY,ASTS,13.36,87.73,578.29,0.1,,,
2024-07-24,BUY,SMR,10.8,86.05,578.29,0.1,,,
2024-07-24,BUY,MSTR,167.269,83.51,578.29,0.1,,,
2024-07-24,BUY,CONL,52.99,81.33,578.29,0.1,,,
2024-07-24,BUY,IBRX,5.33,81.24,578.29,0.1,,,
2024-07-24,BUY,ADMA,13.58,77.89,578.29,0.1,,,
2024-07-24,BUY,TSLL,9.4894,77.79,578.29,0.1,,,
2024-07-24,BUY,CIFR,5.72,77.51,578.29,0.1,,,
2024-07-24,BUY,PATH,11.93,76.15,578.29,0.1,,,
2024-07-24,BUY,BTDR,9.88,75.95,578.29,0.1,,,
2024-08-21,SELL,ASTS,36.44,87.73,,0.1,13.36,172.482,horizon
2024-08-21,SELL,SMR,8.79,86.05,,0.1,10.8,-18.693,horizon
2024-08-21,SELL,MSTR,141.42,83.51,,0.1,167.269,-15.538,horizon
2024-08-21,SELL,CONL,35.37,81.33,,0.1,52.99,-33.318,horizon
2024-08-21,SELL,IBRX,4.4,81.24,,0.1,5.33,-17.531,horizon
2024-08-21,SELL,ADMA,17.84,77.89,,0.1,13.58,31.238,horizon
2024-08-21,SELL,TSLL,9.7845,77.79,,0.1,9.4894,3.007,horizon
2024-08-21,SELL,CIFR,4.05,77.51,,0.1,5.72,-29.267,horizon
2024-08-21,SELL,PATH,12.25,76.15,,0.1,11.93,2.58,horizon
2024-08-21,SELL,BTDR,6.91,75.95,,0.1,9.88,-30.131,horizon
2024-08-21,BUY,ASTS,36.44,88.72,596.74,0.1,,,
2024-08-21,BUY,QXO,13.51,86.79,596.74,0.1,,,
2024-08-21,BUY,SMR,8.79,86.02,596.74,0.1,,,
2024-08-21,BUY,LUNR,5.38,84.03,596.74,0.1,,,
2024-08-21,BUY,ADMA,17.84,82.81,596.74,0.1,,,
2024-08-21,BUY,AAL,10.4,80.09,596.74,0.1,,,
2024-08-21,BUY,UVIX,45.5,79.72,596.74,0.1,,,
2024-08-21,BUY,CONL,35.37,79.6,596.74,0.1,,,
2024-08-21,BUY,MSTR,141.42,79.13,596.74,0.1,,,
2024-08-21,BUY,PATH,12.25,78.73,596.74,0.1,,,
2024-09-19,SELL,ASTS,28.61,88.72,,0.1,36.44,-21.566,horizon
2024-09-19,SELL,QXO,14.87,86.79,,0.1,13.51,9.957,horizon
2024-09-19,SELL,SMR,9.61,86.02,,0.1,8.79,9.219,horizon
2024-09-19,SELL,LUNR,9.28,84.03,,0.1,5.38,72.318,horizon
2024-09-19,SELL,ADMA,19.74,82.81,,0.1,17.84,10.54,horizon
2024-09-19,SELL,AAL,11.11,80.09,,0.1,10.4,6.72,horizon
2024-09-19,SELL,UVIX,44.0,79.72,,0.1,45.5,-3.393,horizon
2024-09-19,SELL,CONL,22.56,79.6,,0.1,35.37,-36.281,horizon
2024-09-19,SELL,MSTR,144.66,79.13,,0.1,141.42,2.189,horizon
2024-09-19,SELL,PATH,12.45,78.73,,0.1,12.25,1.531,horizon
2024-09-19,BUY,ASTS,28.61,88.72,611.73,0.1,,,
2024-09-19,BUY,APLD,5.56,86.87,611.73,0.1,,,
2024-09-19,BUY,QXO,14.87,85.61,611.73,0.1,,,
2024-09-19,BUY,UVIX,44.0,84.88,611.73,0.1,,,
2024-09-19,BUY,SMR,9.61,84.66,611.73,0.1,,,
2024-09-19,BUY,CONL,22.56,82.61,611.73,0.1,,,
2024-09-19,BUY,BTDR,6.8,82.33,611.73,0.1,,,
2024-09-19,BUY,ADMA,19.74,82.16,611.73,0.1,,,
2024-09-19,BUY,CLSK,9.03,80.91,611.73,0.1,,,
2024-09-19,BUY,TSLL,11.2323,80.52,611.73,0.1,,,
2024-10-17,SELL,ASTS,28.49,88.72,,0.1,28.61,-0.519,horizon
2024-10-17,SELL,APLD,7.95,86.87,,0.1,5.56,42.843,horizon
2024-10-17,SELL,QXO,15.42,85.61,,0.1,14.87,3.595,horizon
2024-10-17,SELL,UVIX,51.5,84.88,,0.1,44.0,16.928,horizon
2024-10-17,SELL,SMR,18.02,84.66,,0.1,9.61,87.326,horizon
2024-10-17,SELL,CONL,31.32,82.61,,0.1,22.56,38.691,horizon
2024-10-17,SELL,BTDR,8.07,82.33,,0.1,6.8,18.558,horizon
2024-10-17,SELL,ADMA,16.12,82.16,,0.1,19.74,-18.42,horizon
2024-10-17,SELL,CLSK,11.72,80.91,,0.1,9.03,29.66,horizon
2024-10-17,SELL,TSLL,8.9555,80.52,,0.1,11.2323,-20.35,horizon
2024-10-17,BUY,ASTS,28.49,88.68,672.08,0.1,,,
2024-10-17,BUY,APLD,7.95,85.5,672.08,0.1,,,
2024-10-17,BUY,QXO,15.42,85.33,672.08,0.1,,,
2024-10-17,BUY,CONL,31.32,84.53,672.08,0.1,,,
2024-10-17,BUY,SMR,18.02,83.05,672.08,0.1,,,
2024-10-17,BUY,BTDR,8.07,82.61,672.08,0.1,,,
2024-10-17,BUY,ADMA,16.12,81.93,672.08,0.1,,,
2024-10-17,BUY,UVIX,51.5,81.53,672.08,0.1,,,
2024-10-17,BUY,SOXL,34.8816,80.37,672.08,0.1,,,
2024-10-17,BUY,LUNR,8.35,80.18,672.08,0.1,,,
2024-11-14,SELL,ASTS,26.8,88.68,,0.1,28.49,-6.026,horizon
2024-11-14,SELL,APLD,6.86,85.5,,0.1,7.95,-13.797,horizon
