date,action,ticker,price,confidence,size,slippage_pct,entry_price,return_pct,exit_reason
2024-01-03,BUY,PLTR,16.09,60.35,500.0,0.1,,,
2024-01-03,BUY,ADBE,571.79,60.08,500.0,0.1,,,
2024-01-10,SELL,PLTR,16.79,60.35,,0.1,16.09,4.246,horizon
2024-01-10,SELL,ADBE,591.03,60.08,,0.1,571.79,3.262,horizon
2024-01-10,BUY,MSTR,56.567,60.06,501.83,0.1,,,
2024-01-12,BUY,COIN,130.78,60.67,498.25,0.1,,,
2024-01-12,BUY,TSLA,218.89,60.59,498.25,0.1,,,
2024-01-16,BUY,NIO,6.55,60.17,498.75,0.1,,,
2024-01-18,SELL,MSTR,48.66,60.06,,0.1,56.567,-14.064,horizon
2024-01-18,BUY,MSTR,48.66,61.86,495.15,0.1,,,
2024-01-22,SELL,COIN,128.21,60.67,,0.1,130.78,-2.063,horizon
2024-01-22,SELL,TSLA,208.8,60.59,,0.1,218.89,-4.705,horizon
2024-01-22,BUY,TSLA,208.8,61.03,493.48,0.1,,,
2024-01-22,BUY,COIN,128.21,60.82,493.48,0.1,,,
2024-01-23,SELL,NIO,6.21,60.17,,0.1,6.55,-5.286,horizon
2024-01-25,SELL,MSTR,45.778,61.86,,0.1,48.66,-6.017,horizon
2024-01-25,BUY,MSTR,45.778,60.02,489.15,0.1,,,
2024-01-29,SELL,TSLA,190.93,61.03,,0.1,208.8,-8.65,horizon
2024-01-29,SELL,COIN,132.82,60.82,,0.1,128.21,3.492,horizon
2024-01-29,BUY,TSLA,190.93,62.12,495.33,0.1,,,
2024-01-30,BUY,COIN,130.82,60.07,495.69,0.1,,,
2024-01-31,BUY,NIO,5.62,60.35,493.64,0.1,,,
2024-02-01,SELL,MSTR,50.348,60.02,,0.1,45.778,9.873,horizon
2024-02-05,SELL,TSLA,181.06,62.12,,0.1,190.93,-5.264,horizon
2024-02-05,BUY,TSLA,181.06,60.23,489.75,0.1,,,
2024-02-06,SELL,COIN,119.79,60.07,,0.1,130.82,-8.523,horizon
2024-02-06,BUY,COIN,119.79,62.0,493.58,0.1,,,
2024-02-07,SELL,NIO,5.86,60.35,,0.1,5.62,4.166,horizon
2024-02-12,SELL,TSLA,188.13,60.23,,0.1,181.06,3.801,horizon
2024-02-13,SELL,COIN,140.39,62.0,,0.1,119.79,17.08,horizon
2024-02-16,BUY,ADBE,546.66,61.56,497.38,0.1,,,
2024-02-20,BUY,MSTR,70.498,60.34,497.14,0.1,,,
2024-02-21,BUY,CLSK,15.46,61.52,495.83,0.1,,,
2024-02-21,BUY,PLTR,22.74,60.17,495.83,0.1,,,
2024-02-26,SELL,ADBE,560.48,61.56,,0.1,546.66,2.426,horizon
2024-02-27,SELL,MSTR,87.18,60.34,,0.1,70.498,23.539,horizon
2024-02-28,SELL,CLSK,18.08,61.52,,0.1,15.46,16.83,horizon
2024-02-28,SELL,PLTR,24.42,60.17,,0.1,22.74,7.28,horizon
2024-02-28,BUY,CLSK,18.08,60.49,509.71,0.1,,,
2024-02-28,BUY,LYFT,15.69,60.44,509.71,0.1,,,
2024-03-06,SELL,CLSK,16.575,60.49,,0.1,18.08,-8.416,horizon
2024-03-06,SELL,LYFT,18.3,60.44,,0.1,15.69,16.518,horizon
2024-03-13,BUY,TSLA,169.48,60.93,511.73,0.1,,,
2024-03-14,BUY,SMR,7.24,60.11,510.65,0.1,,,
2024-03-15,BUY,AVGO,120.5633,60.18,512.94,0.1,,,
2024-03-19,BUY,AG,5.2365,60.05,509.65,0.1,,,
2024-03-20,SELL,TSLA,175.66,60.93,,0.1,169.48,3.543,horizon
2024-03-21,SELL,SMR,4.57,60.11,,0.1,7.24,-36.942,horizon
2024-03-22,SELL,AVGO,132.6376,60.18,,0.1,120.5633,9.905,horizon
2024-03-26,SELL,AG,5.2265,60.05,,0.1,5.2365,-0.29,horizon
2024-03-27,BUY,CIFR,5.33,60.48,505.57,0.1,,,
2024-04-04,SELL,CIFR,4.16,60.48,,0.1,5.33,-22.029,horizon
2024-04-04,BUY,AMD,165.83,61.99,499.97,0.1,,,
2024-04-04,BUY,NVDA,85.8565,60.24,499.97,0.1,,,
2024-04-05,BUY,MU,122.7192,60.48,501.23,0.1,,,
2024-04-09,BUY,MSTR,144.102,60.26,500.29,0.1,,,
2024-04-11,SELL,AMD,170.5,61.99,,0.1,165.83,2.713,horizon
2024-04-11,SELL,NVDA,90.5649,60.24,,0.1,85.8565,5.378,horizon
2024-04-11,BUY,AG,7.9244,60.6,504.62,0.1,,,
2024-04-11,BUY,AMD,170.5,60.42,504.62,0.1,,,
2024-04-12,SELL,MU,121.6666,60.48,,0.1,122.7192,-0.957,horizon
2024-04-12,BUY,INTC,35.3216,61.05,499.81,0.1,,,
2024-04-15,BUY,COIN,223.41,62.54,497.19,0.1,,,
2024-04-15,BUY,NVDA,85.9525,61.45,497.19,0.1,,,
2024-04-15,BUY,CRM,269.9762,60.73,497.19,0.1,,,
2024-04-15,BUY,AI,20.84,60.02,497.19,0.1,,,
2024-04-16,SELL,MSTR,125.403,60.26,,0.1,144.102,-13.063,horizon
2024-04-16,BUY,MSTR,125.403,64.08,493.93,0.1,,,
2024-04-16,BUY,IWM,190.7928,61.37,493.93,0.1,,,
2024-04-16,BUY,SOXX,214.1535,60.33,453.58,0.1,,,
2024-04-18,SELL,AG,6.7397,60.6,,0.1,7.9244,-15.035,horizon
2024-04-18,SELL,AMD,155.08,60.42,,0.1,170.5,-9.135,horizon
2024-04-18,BUY,MU,111.1503,63.84,488.3,0.1,,,
2024-04-18,BUY,SMH,207.0651,63.35,464.63,0.1,,,
2024-04-19,SELL,INTC,33.8469,61.05,,0.1,35.3216,-4.271,horizon
2024-04-19,BUY,TSLA,147.05,63.74,420.97,0.1,,,
2024-04-22,SELL,COIN,225.86,62.54,,0.1,223.41,0.996,horizon
2024-04-22,SELL,NVDA,79.4732,61.45,,0.1,85.9525,-7.631,horizon
2024-04-22,SELL,CRM,270.8764,60.73,,0.1,269.9762,0.233,horizon
2024-04-22,SELL,AI,21.57,60.02,,0.1,20.84,3.399,horizon
2024-04-22,BUY,NVDA,79.4732,67.17,488.02,0.1,,,
2024-04-22,BUY,COIN,225.86,63.62,488.02,0.1,,,
2024-04-22,BUY,AMD,148.64,62.83,488.02,0.1,,,
2024-04-22,BUY,AVGO,119.9949,62.78,488.02,0.1,,,
2024-04-23,SELL,MSTR,133.864,64.08,,0.1,125.403,6.64,horizon
2024-04-23,SELL,IWM,194.226,61.37,,0.1,190.7928,1.698,horizon
2024-04-23,SELL,SOXX,203.2257,60.33,,0.1,214.1535,-5.198,horizon
2024-04-23,BUY,MSTR,133.864,62.91,493.75,0.1,,,
2024-04-23,BUY,SOXX,203.2257,62.45,493.75,0.1,,,
2024-04-23,BUY,META,492.7595,62.09,493.75,0.1,,,
2024-04-25,SELL,MU,110.8028,63.84,,0.1,111.1503,-0.412,horizon
2024-04-25,SELL,SMH,210.6083,63.35,,0.1,207.0651,1.609,horizon
2024-04-25,BUY,SMH,210.6083,61.62,493.65,0.1,,,
2024-04-25,BUY,MU,110.8028,60.65,493.65,0.1,,,
2024-04-26,SELL,TSLA,168.29,63.74,,0.1,147.05,14.33,horizon
2024-04-29,SELL,NVDA,87.7075,67.17,,0.1,79.4732,10.251,horizon
2024-04-29,SELL,COIN,218.16,63.62,,0.1,225.86,-3.506,horizon
2024-04-29,SELL,AMD,160.2,62.83,,0.1,148.64,7.669,horizon
2024-04-29,SELL,AVGO,131.1824,62.78,,0.1,119.9949,9.214,horizon
2024-04-29,BUY,COIN,218.16,64.46,498.73,0.1,,,
2024-04-29,BUY,NVDA,87.7075,60.93,498.73,0.1,,,
2024-04-30,SELL,MSTR,106.503,62.91,,0.1,133.864,-20.519,horizon
2024-04-30,SELL,SOXX,211.2414,62.45,,0.1,203.2257,3.84,horizon
2024-04-30,SELL,META,427.2734,62.09,,0.1,492.7595,-13.376,horizon
2024-04-30,BUY,MSTR,106.503,65.72,490.92,0.1,,,
2024-04-30,BUY,META,427.2734,62.71,490.92,0.1,,,
2024-05-01,BUY,AMD,144.27,61.09,488.84,0.1,,,
2024-05-01,BUY,INTC,30.0565,60.23,488.84,0.1,,,
2024-05-01,BUY,TSLL,7.3106,60.05,488.84,0.1,,,
2024-05-02,SELL,SMH,210.4396,61.62,,0.1,210.6083,-0.18,horizon
2024-05-02,SELL,MU,111.5476,60.65,,0.1,110.8028,0.571,horizon
2024-05-02,BUY,SMH,210.4396,60.76,495.62,0.1,,,
2024-05-06,SELL,COIN,226.93,64.46,,0.1,218.16,3.916,horizon
2024-05-06,SELL,NVDA,92.088,60.93,,0.1,87.7075,4.889,horizon
2024-05-06,BUY,COIN,226.93,62.3,506.33,0.1,,,
2024-05-06,BUY,IBRX,7.81,61.77,506.33,0.1,,,
2024-05-07,SELL,MSTR,125.745,65.72,,0.1,106.503,17.949,horizon
2024-05-07,SELL,META,465.0871,62.71,,0.1,427.2734,8.741,horizon
2024-05-07,BUY,MSTR,125.745,61.78,503.49,0.1,,,
2024-05-07,BUY,NIO,5.51,60.57,503.49,0.1,,,
2024-05-08,SELL,AMD,153.62,61.09,,0.1,144.27,6.374,horizon
2024-05-08,SELL,INTC,29.8109,60.23,,0.1,30.0565,-0.916,horizon
2024-05-08,SELL,TSLL,6.8634,60.05,,0.1,7.3106,-6.211,horizon
2024-05-08,BUY,TSLL,6.8634,62.85,498.7,0.1,,,
2024-05-09,SELL,SMH,218.33,60.76,,0.1,210.4396,3.646,horizon
2024-05-13,SELL,COIN,199.51,62.3,,0.1,226.93,-12.171,horizon
2024-05-13,SELL,IBRX,8.63,61.77,,0.1,7.81,10.389,horizon
2024-05-13,BUY,COIN,199.51,64.32,499.66,0.1,,,
2024-05-13,BUY,IBRX,8.63,60.66,499.66,0.1,,,
2024-05-14,SELL,MSTR,129.763,61.78,,0.1,125.745,3.092,horizon
2024-05-14,SELL,NIO,5.79,60.57,,0.1,5.51,4.977,horizon
2024-05-14,BUY,MSTR,129.763,60.24,503.67,0.1,,,
2024-05-15,SELL,TSLL,6.7721,62.85,,0.1,6.8634,-1.428,horizon
2024-05-15,BUY,NIO,5.33,60.18,507.86,0.1,,,
2024-05-20,SELL,COIN,225.19,64.32,,0.1,199.51,12.759,horizon
2024-05-20,SELL,IBRX,7.04,60.66,,0.1,8.63,-18.506,horizon
2024-05-21,SELL,MSTR,165.542,60.24,,0.1,129.763,27.445,horizon
2024-05-22,SELL,NIO,5.24,60.18,,0.1,5.33,-1.787,horizon
2024-05-23,BUY,ADMA,9.47,60.24,507.84,0.1,,,
2024-05-28,BUY,ASTS,5.33,62.97,507.92,0.1,,,
2024-05-31,SELL,ADMA,9.55,60.24,,0.1,9.47,0.744,horizon
2024-06-04,SELL,ASTS,8.67,62.97,,0.1,5.33,62.502,horizon
2024-06-04,BUY,ASTS,8.67,61.76,523.85,0.1,,,
2024-06-10,BUY,CHWY,22.68,60.15,523.25,0.1,,,
2024-06-11,SELL,ASTS,9.87,61.76,,0.1,8.67,13.727,horizon
2024-06-13,BUY,MSTR,148.388,60.24,528.05,0.1,,,
2024-06-17,SELL,CHWY,22.81,60.15,,0.1,22.68,0.473,horizon
2024-06-17,BUY,BTDR,9.38,60.15,527.91,0.1,,,
2024-06-21,SELL,MSTR,148.376,60.24,,0.1,148.388,-0.108,horizon
2024-06-21,BUY,MSTR,148.376,60.57,527.8,0.1,,,
2024-06-24,BUY,COIN,212.31,60.27,524.92,0.1,,,
2024-06-25,SELL,BTDR,10.03,60.15,,0.1,9.38,6.823,horizon
2024-06-25,BUY,BTDR,10.03,62.56,530.56,0.1,,,
2024-06-26,BUY,AAL,11.12,60.26,526.91,0.1,,,
2024-06-28,SELL,MSTR,137.748,60.57,,0.1,148.376,-7.256,horizon
2024-06-28,BUY,MSTR,137.748,62.07,529.55,0.1,,,
2024-06-28,BUY,APLD,5.95,60.29,529.55,0.1,,,
2024-07-01,SELL,COIN,233.37,60.27,,0.1,212.31,9.81,horizon
2024-07-02,SELL,BTDR,11.61,62.56,,0.1,10.03,15.637,horizon
2024-07-03,SELL,AAL,11.12,60.26,,0.1,11.12,-0.1,horizon
2024-07-08,SELL,MSTR,129.058,62.07,,0.1,137.748,-6.402,horizon
2024-07-08,SELL,APLD,7.14,60.29,,0.1,5.95,19.88,horizon
2024-07-08,BUY,MSTR,129.058,62.22,537.43,0.1,,,
